"entry_id";"resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"event_date";"current_state";"critical_factor";"failure_repetition";"redundancy_factor";"aggeregated_failure_count";"reinitialization_factor";"dependency_type";"dependency_levels_up";"dependency_levels_down"
118;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 07:20:36";"offline";"true";"low";"true";"low";"true";"local";"low";"low"
119;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 07:20:47";"offline";"true";"low";"true";"high";"true";"local";"low";"low"
120;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 07:22:09";"offline";"true";"low";"true";"high";"true";"local";"low";"low"
121;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 07:22:19";"offline";"true";"low";"true";"high";"true";"local";"low";"low"
122;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 07:23:36";"offline";"true";"low";"true";"high";"true";"local";"low";"low"
123;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:47:44";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
124;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:50:37";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
125;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:54:17";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
126;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"low";"false";"global";"low";"low"
127;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
128;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
129;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
130;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
131;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
132;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"true";"high";"true";"local";"low";"low"
133;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
134;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
135;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
136;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
137;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
138;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"2021-03-07 07:55:40";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
